P,C/1B,2B,3B,SS,OF,OF,OF,UTIL,"","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
"","","","","","","","","","",91073-161675:Jonathan Heasley,91073-161675,P,Jonathan,Jonathan Heasley,Heasley,5,1,6300,KC@MIA,KC,MIA,,,,,0,P
"","","","","","","","","","",91073-102395:Ryan Weathers,91073-102395,P,Ryan,Ryan Weathers,Weathers,13.88888888888889,9,6300,CHC@SD,SD,CHC,,,,,,P
"","","","","","","","","","",91073-145610:Angel Zerpa,91073-145610,P,Angel,Angel Zerpa,Zerpa,16,3,6200,KC@MIA,KC,MIA,IL,Shoulder,,,0,P
"","","","","","","","","","",91073-169636:Beau Brieske,91073-169636,P,Beau,Beau Brieske,Brieske,22.333333333333332,15,6200,DET@PHI,DET,PHI,IL,Elbow,,,0,P
"","","","","","","","","","",91073-165551:Reese Olson,91073-165551,P,Reese,Reese Olson,Olson,27,1,6200,DET@PHI,DET,PHI,,,,,0,P
"","","","","","","","","","",91073-163514:Adrian Martinez,91073-163514,P,Adrian,Adrian Martinez,Martinez,7.818181818181818,11,6200,OAK@PIT,OAK,PIT,,,,,0,P
"","","","","","","","","","",91073-165634:Ken Waldichuk,91073-165634,P,Ken,Ken Waldichuk,Waldichuk,14.461538461538462,13,6200,OAK@PIT,OAK,PIT,,,,,0,P
"","","","","","","","","","",91073-68518:Spencer Turnbull,91073-68518,P,Spencer,Spencer Turnbull,Turnbull,13.714285714285714,8,6200,DET@PHI,DET,PHI,IL,Neck,,,0,P
"","","","","","","","","","",91073-104672:Devin Smeltzer,91073-104672,P,Devin,Devin Smeltzer,Smeltzer,6.833333333333333,6,6100,KC@MIA,MIA,KC,,,,,0,P
"","","","","","","","","","",91073-82534:Bryse Wilson,91073-82534,P,Bryse,Bryse Wilson,Wilson,8.222222222222221,19,6100,MIL@CIN,MIL,CIN,,,,,,P
"","","","","","","","","","",91073-161450:Janson Junk,91073-161450,P,Janson,Janson Junk,Junk,8,1,6100,MIL@CIN,MIL,CIN,,,,,,P
"","","","","","","","","","",91073-178306:Bryan Hoeing,91073-178306,P,Bryan,Bryan Hoeing,Hoeing,7.153846153846154,13,6000,KC@MIA,MIA,KC,,,,,0,P
"","","","","","","","","","",91073-182597:Shintaro Fujinami,91073-182597,P,Shintaro,Shintaro Fujinami,Fujinami,4.388888888888889,18,6000,OAK@PIT,OAK,PIT,,,,,0,P
"","","","","","","","","","",91073-82631:Taylor Hearn,91073-82631,P,Taylor,Taylor Hearn,Hearn,4.5,4,6000,STL@TEX,TEX,STL,,,,,0,P
